STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
KEW GARDENS,MO0,0.15839375,0,0,6335.75
39 AV,SA16,0.557025,2,0,2281.0
FLATBUSH AV-B.C,SU12,0.444575,1,0,7783.0
HIGH ST,FR8,0.760625,2,2,8425.0
CRESCENT ST,FR8,0.13499375,0,0,5399.75
40 ST LOWERY ST,TU16,0.519625,1,1,9785.0
BROADWAY,SU20,0.09578125,0,0,3831.25
34 ST-HERALD SQ,SU8,2.6753,7,12,25012.0
FLATBUSH AV-B.C,SA8,0.4723625,1,0,8894.5
WILSON AV,MO20,0.01015,0,0,406.0
BEACH 60 ST,FR16,0.04135,0,0,1654.0
BRIGHTON BEACH,MO4,0.2284,0,0,9136.0
BRIGHTON BEACH,TU0,0.007875,0,0,315.0
AQUEDUCT RACETR,TU12,0.03155,0,0,1262.0
KINGSTON-THROOP,TU4,0.1212,0,0,4848.0
CYPRESS AV,TH20,0.0398875,0,0,1595.5
BEACH 105 ST,TH16,0.00401875,0,0,160.75
46 ST BLISS ST,WE16,0.541275,1,0,11651.0
231 ST,TH4,0.500825,1,0,10033.0
68ST-HUNTER CO,FR20,1.294675,4,1,10787.0
WESTCHESTER SQ,SA8,0.070375,0,0,2815.0
WESTCHESTER SQ,WE16,0.166125,0,0,6645.0
BRIGHTON BEACH,TU20,0.12265,0,0,4906.0
WILSON AV,TU0,0.002925,0,0,117.0
STEINWAY ST,TH8,0.476425,0,0,19057.0
23 ST,MO8,4.26295,8,31,59518.0
LAFAYETTE AV,WE0,0.76964375,3,0,785.75
BEDFORD PK BLVD,TH4,1.1527,3,0,16108.0
BAY RIDGE AV,MO20,0.040475,0,0,1619.0
BROOKLYN BRIDGE,FR8,0.58155,1,1,12262.0
HUNTS POINT AV,SU4,0.07,0,0,2800.0
UTICA AV,TH4,0.4441125,0,0,17764.5
JAMAICA 179 ST,WE0,0.0193,0,0,772.0
NEW UTRECHT AV,FR4,0.13390625,0,0,5356.25
170 ST,TU12,0.36518125,0,0,14607.25
225 ST,FR0,0.01439375,0,0,575.75
EAST BROADWAY,WE12,0.350125,0,0,14005.0
BEDFORD-NOSTRAN,FR0,0.263325,1,0,533.0
GRAND-NEWTOWN,WE16,0.254425,0,0,10177.0
BAY RIDGE-95 ST,SA4,0.0262,0,0,1048.0
LIVONIA AV,SA4,0.034175,0,0,1367.0
MORISN AV/SNDVW,SU12,0.09195,0,0,3678.0
191 ST,SA12,0.1254,0,0,5016.0
MARBLE HILL-225,SU12,0.566675,2,0,2667.0
BLEECKER ST,TU0,0.5944,1,12,1776.0
GRD CNTRL-42 ST,WE20,4.37076875,7,9,95830.75
BROOK AV,WE20,0.30145625,1,0,2058.25
7 AV,SA4,0.10771875,0,0,4308.75
104 ST,TU4,0.17415,0,0,6966.0
CORTLANDT ST,TU12,0.78828125,1,10,11531.25
KINGSBRIDGE RD,MO8,1.119175,3,0,14767.0
BROAD CHANNEL,TU16,0.00304375,0,0,121.75
40 ST LOWERY ST,SA16,0.407075,1,1,5283.0
BOWERY,MO12,0.349025,1,1,2961.0
WOODLAWN,TH0,0.01215,0,0,486.0
W 4 ST-WASH SQ,TU4,0.904725,2,2,14189.0
238 ST,TH16,0.3104625,1,0,2418.5
FRANKLIN AV,TH16,0.80658125,2,0,12263.25
JAMAICA 179 ST,TH16,0.281025,0,0,11241.0
75 AV,FR16,0.066025,0,0,2641.0
116 ST-COLUMBIA,MO0,0.51415625,2,0,566.25
SUTPHIN-ARCHER,SU16,0.319425,0,0,12777.0
BUHRE AV,MO4,0.12266875,0,0,4906.75
FLUSHING AV,WE0,0.0298875,0,0,1195.5
WHITLOCK AV,SU12,0.0246,0,0,984.0
AQUEDUCT RACETR,TU4,0.02105,0,0,842.0
WORLD TRADE CTR,SU20,0.412625,1,3,3505.0
175 ST,FR0,0.009875,0,0,395.0
14 ST-UNION SQ,TH16,5.14784375,5,7,148913.75
SOUTH FERRY,WE0,0.0739,0,2,956.0
104 ST,WE8,0.120625,0,0,4825.0
STERLING ST,WE16,0.347825,1,0,3913.0
W 8 ST-AQUARIUM,MO12,0.064775,0,0,2591.0
CHAUNCEY ST,FR0,0.01106875,0,0,442.75
BEACH 44 ST,TU12,0.01455,0,0,582.0
AVENUE I,MO0,0.00353125,0,0,141.25
183 ST,SU8,0.84225,3,0,3690.0
77 ST,TH8,0.9574,0,0,38296.0
GRAND-NEWTOWN,TU20,0.082525,0,0,3301.0
157 ST,WE16,0.2020625,0,0,8082.5
HIGH ST,WE16,0.8791,2,2,13164.0
ASTORIA BLVD,SU16,0.137675,0,0,5507.0
KOSCIUSZKO ST,MO12,0.10725,0,0,4290.0
HALSEY ST,WE4,0.45540625,0,0,18216.25
52 ST,TH4,0.20258125,0,0,8103.25
B'WAY-LAFAYETTE,TU12,1.33061014067,2,14,19224.4056269
JAMAICA 179 ST,WE16,0.26995,0,0,10798.0
METROPOLITAN AV,SU4,0.05004375,0,0,2001.75
PROSPECT PARK,FR4,0.401925,1,0,6077.0
219 ST,SU12,0.042225,0,0,1689.0
14 ST-UNION SQ,FR12,4.269325,5,7,113773.0
23 ST,MO4,3.266675,8,31,19667.0
5 AVE,MO4,1.28685,5,1,474.0
157 ST,TU20,0.0843125,0,0,3372.5
MT EDEN AV,TU8,0.40975,1,0,6390.0
3 AV,TU20,1.179225,4,0,7169.0
CLEVELAND ST,FR12,0.069375,0,0,2775.0
ASTORIA DITMARS,TH0,0.01565,0,0,626.0
KOSCIUSZKO ST,WE12,0.113375,0,0,4535.0
AVENUE U,MO20,0.060975,0,0,2439.0
182-183 STS,SU0,0.759,3,0,360.0
SENECA AVE,SU8,0.0294625,0,0,1178.5
KNICKERBOCKER,WE4,0.109025,0,0,4361.0
15 ST-PROSPECT,TH20,0.04241875,0,0,1696.75
WHITEHALL S-FRY,FR12,0.6531125,0,6,20124.5
ALABAMA AV,WE16,0.0626625,0,0,2506.5
KOSCIUSZKO ST,SA16,0.07625625,0,0,3050.25
HOYT-SCHER,MO16,0.822275,2,0,12891.0
FRANKLIN ST,MO12,0.4018,1,1,5072.0
HOYT ST,FR16,0.8008,2,0,12032.0
HOYT ST,WE8,0.6332,2,0,5328.0
B'WAY-LAFAYETTE,FR12,1.49381342481,2,14,25752.5369923
AVENUE P,WE4,0.0963,0,0,3852.0
14TH STREET,WE0,1.33692503142,5,2,1477.00125661
KINGSTON-THROOP,MO16,0.1183,0,0,4732.0
CENTRAL AV,MO20,0.01793125,0,0,717.25
KINGSBRIDGE RD,WE16,1.03928125,3,0,11571.25
SMITH-9 ST,SU12,0.054425,0,0,2177.0
CATHEDRAL PKWY,SU0,0.55250625,2,0,2100.25
